,stl
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,39.756620690234094
118,40.0620238903775
119,39.599021090879255
120,34.70198877074726
121,38.7177728210218
122,31.888561435500808
123,37.20091925070192
124,32.83159459678098
125,31.557821031927396
126,32.32799196743632
127,31.582057441242227
128,30.178652278892983
129,32.26231301441342
130,34.20956606598549
131,29.76063632978459
132,28.150861745315996
133,27.89919608376887
134,28.323757662250117
135,24.498807099235478
136,23.314224347137248
137,24.16536739180794
138,20.35314980136512
139,21.970600027659792
140,27.527940159320856
141,21.38722342273998
142,21.945796167100607
143,18.955023528107528
144,19.116099444885315
145,17.85351172574938
146,15.883432277046065
147,18.69322700169613
148,15.126397530783816
149,12.323137114502714
150,18.39395178864612
151,14.78763311997589
152,17.282954823301704
153,20.652809753711203
154,14.732159105549698
155,30.087389134772252
156,32.24693912541568
157,30.02567756453125
158,9.85912448449881
159,10.139765490942
160,15.785931020560898
161,10.950337082579086
162,12.149324998679013
163,15.166700797775267
164,9.808919999859441
165,13.697474856237779
166,12.063595246331232
167,8.522677838156536
168,7.497918357491816
169,11.515698685779011
170,14.665216019300487
171,5.608372831544045
172,12.048869422259347
173,9.31241421658516
174,8.419865167219527
175,9.60435389564838
176,4.1285086449690525
177,6.855097293839339
178,10.385924765882741
179,5.40995901118492
180,6.922001007949266
181,7.591173898689686
182,7.8465360629020005
183,8.100840959792787
184,12.244343843756663
185,7.797156310152051
186,6.922100600944994
187,4.038635453122961
188,6.968382959822609
189,10.47842902647428
190,25.343881763323576
191,36.984803123686376
192,39.06842232918902
193,22.168992691207748
194,10.306894378273892
195,13.516898426043461
196,5.700091656141783
197,10.048390061842973
198,10.033982908881985
199,12.024694044254371
200,11.764382985175846
201,9.685036153334327
202,19.72539556319824
203,11.117231443163448
204,10.798378060121394
205,13.530401647889878
206,11.806576652059547
207,21.992087012142314
208,15.181172742599767
209,15.264132572339928
210,17.699505079513564
211,14.556632541119367
212,15.191794309580988
213,16.341726783525893
214,19.34228031672725
215,19.19950323070937
216,15.811929349165066
217,19.94239971002094
218,18.378956351818314
219,18.66890886725597
220,24.093434264471817
221,18.174183560002486
222,23.599045477215448
223,20.397094462413644
224,23.6759946355792
